,bop date,eop date,day count,bop RSP price,eop RSP price,bop SPY price,eop SPY price,eop SPY / eop RSP,bop SPY / RSP moving avg,eop SPY / RSP moving avg,current position,new position,bop RSP shares,eop RSP shares,eop RSP shares bought,eop RSP shares sold,eop RSP shares traded,bop SPY shares,eop SPY shares,eop SPY shares bought,eop SPY shares sold,eop SPY shares traded,RSP daily commission,SPY daily commission,daily total commissions,RSP cop,RSP pct cop,RSP daily position pnl,SPY cop,SPY pct cop,SPY daily position pnl,daily position pnl,short RSP investment amount,long RSP investment amount,RSP investment amount,daily RSP borrow cost,short SPY investment amount,long SPY investment amount,SPY investment amount,daily SPY borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
141,7/29/2025,7/30/2025,1,$186.53 ,$185.32 ,$635.26 ,$634.46 ,3.423591625,3.403198072,3.404005472,1,1,536.1067925,539.607166,3.50037351,0,3.50037351,-157.4158612,-157.6143492,0,0.198487988,-0.198487988,($0.02),($0.00),($0.02),($1.21),-0.65%,($648.69),($0.80),-0.13%,$125.93 ,($522.76),$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,0,"$200,000.00 ","($100,000.00)",($2.78),($525.55),"$3,483.23 ","($1,755.77)"
142,7/30/2025,7/31/2025,1,$185.32 ,$183.63 ,$634.46 ,$632.08 ,3.442139084,3.404005472,3.407356423,1,1,539.607166,544.5733268,4.966160815,0,4.966160815,-157.6143492,-158.2078218,0,0.593472584,-0.593472584,($0.02),($0.00),($0.03),($1.69),-0.92%,($911.94),($2.38),-0.38%,$375.12 ,($536.81),$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,0,"$200,000.00 ","($100,000.00)",($2.78),($539.62),"$2,943.61 ","($2,295.39)"
143,7/31/2025,8/1/2025,1,$183.63 ,$181.56 ,$632.08 ,$621.72 ,3.424322538,3.407356423,3.409045925,1,1,544.5733268,550.7821106,6.208783799,0,6.208783799,-158.2078218,-160.8441099,0,2.636288094,-2.636288094,($0.03),($0.01),($0.04),($2.07),-1.13%,"($1,127.27)",($10.36),-1.65%,"$1,639.03 ",$511.77 ,$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,0,"$200,000.00 ","($100,000.00)",($2.78),$508.94 ,"$3,452.56 ","($1,786.45)"
144,8/1/2025,8/4/2025,3,$181.56 ,$183.78 ,$621.72 ,$631.17 ,3.434378061,3.409045925,3.409923121,1,1,550.7821106,544.1288497,0,6.653260885,-6.653260885,-160.8441099,-158.4359206,2.408189297,0,2.408189297,($0.03),($0.01),($0.05),$2.22 ,1.22%,"$1,222.74 ",$9.45 ,1.51%,"($1,519.98)",($297.24),$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-8.333333333,0,"$200,000.00 ","($100,000.00)",($8.33),($305.62),"$3,146.94 ","($2,092.07)"
145,8/4/2025,8/5/2025,1,$183.78 ,$183.27 ,$631.17 ,$627.97 ,3.4264746,3.409923121,3.414273739,1,1,544.1288497,545.6430403,1.514190611,0,1.514190611,-158.4359206,-159.243276,0,0.807355361,-0.807355361,($0.01),($0.00),($0.01),($0.51),-0.28%,($277.51),($3.20),-0.51%,$506.99 ,$229.49 ,$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,0,"$200,000.00 ","($100,000.00)",($2.78),$226.70 ,"$3,373.64 ","($1,865.37)"
146,8/5/2025,8/6/2025,1,$183.27 ,$182.86 ,$627.97 ,$632.78 ,3.460461555,3.414273739,3.421948235,1,1,545.6430403,546.8664552,1.223414889,0,1.223414889,-159.243276,-158.0328076,1.210468342,0,1.210468342,($0.01),($0.01),($0.01),($0.41),-0.22%,($223.71),$4.81 ,0.76%,($765.96),($989.67),$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,0,"$200,000.00 ","($100,000.00)",($2.78),($992.46),"$2,381.17 ","($2,857.83)"
147,8/6/2025,8/7/2025,1,$182.86 ,$182.75 ,$632.78 ,$632.25 ,3.459644323,3.421948235,3.428341935,1,1,546.8664552,547.1956224,0.329167223,0,0.329167223,-158.0328076,-158.1652827,0,0.13247511,-0.13247511,($0.00),($0.00),($0.00),($0.11),-0.06%,($60.16),($0.53),-0.08%,$83.76 ,$23.60 ,$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,-1.45519E-11,"$200,000.00 ","($100,000.00)",($2.78),$20.82 ,"$2,401.99 ","($2,837.01)"
148,8/7/2025,8/8/2025,1,$182.75 ,$183.08 ,$632.25 ,$637.18 ,3.480336465,3.428341935,3.437005209,1,1,547.1956224,546.2093074,0,0.986315028,-0.986315028,-158.1652827,-156.9415236,1.223759132,0,1.223759132,($0.00),($0.01),($0.01),$0.33 ,0.18%,$180.57 ,$4.93 ,0.78%,($779.75),($599.18),$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,0,"$200,000.00 ","($100,000.00)",($2.78),($601.97),"$1,800.02 ","($3,438.98)"
149,8/8/2025,8/11/2025,3,$183.08 ,$182.58 ,$637.18 ,$635.92 ,3.482966371,3.437005209,3.443998663,1,1,546.2093074,547.7051156,1.495808159,0,1.495808159,-156.9415236,-157.2524846,0,0.310961001,-0.310961001,($0.01),($0.00),($0.01),($0.50),-0.27%,($273.10),($1.26),-0.20%,$197.75 ,($75.36),$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-8.333333333,1.45519E-11,"$200,000.00 ","($100,000.00)",($8.33),($83.70),"$1,716.32 ","($3,522.68)"
150,8/11/2025,8/12/2025,1,$182.58 ,$184.90 ,$635.92 ,$642.69 ,3.475878853,3.443998663,3.451019348,1,1,547.7051156,540.8328826,0,6.872232927,-6.872232927,-157.2524846,-155.5960105,1.656474071,0,1.656474071,($0.03),($0.01),($0.04),$2.32 ,1.26%,"$1,270.68 ",$6.77 ,1.06%,"($1,064.60)",$206.08 ,$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,0,"$200,000.00 ","($100,000.00)",($2.78),$203.26 ,"$1,919.58 ","($3,319.42)"
