date,XLU,IDU,IDU/XLU,IDU/XLU avg,IDU/XLU 10 dma,IDU/XLU 20 dma,XLU avg,XLU 10 dma,XLU 20 dma,avg diff,10 dma diff,20 dma diff,XLU div,IDU div,XLU*,IDU*,IDU*/XLU*,IDU*/XLU* avg,IDU*/XLU* 10 dma,IDU*/XLU* 20 dma,XLU* avg,XLU* 10 dma,XLU* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-06-15,44.74,112.42,2.5127402771569063,2.53201256111268,2.5293704566061486,2.5280096837712316,113.2822419841813,113.24509501742222,113.14629640214145,-0.007640563702655218,-0.007312594746821858,-0.006439782216863543,0.0,0.6315,44.74,113.0515,2.526855163164953,2.5327235982420713,2.5307819452069533,2.5287154280716337,113.31405378535027,113.24509501742222,113.14629640214145,-0.0023197337112192884,-0.0017109852195164347,-0.0008381726895580621
2026-06-16,45.06,113.22,2.5126498002663116,2.53201256111268,2.5279019514391576,2.5269694382360717,114.09248600373736,113.97343277467306,113.91211635073171,-0.007676571610185196,-0.006632546790379859,-0.0060944132785676255,0.0,0.6315,45.06,113.8515,2.526664447403462,2.5327235982420713,2.5307149047536774,2.528375914893332,114.12452533678774,114.03703445102532,113.94391718890782,-0.002395212101045965,-0.0016282915897025475,-0.0008114052083991836
2026-06-17,44.46,111.81,2.5148448043184883,2.53201256111268,2.526263576689126,2.5261216919837954,112.57327846706974,112.39052076098496,112.34906122397575,-0.006803371591374272,-0.005178596877247225,-0.004809640620291109,0.0,0.6315,44.46,112.4415,2.5290485829959515,2.5327235982420713,2.530496907871392,2.5282383575749288,112.60489117784249,112.5155846653485,112.41159317615754,-0.001452066888933441,-0.0006586560110968695,0.0002660121201480171
2026-06-18,44.76,112.49,2.5131814119749776,2.53201256111268,2.5242817634032373,2.5253485001696037,113.33288223540355,113.07555769260527,113.06920693319468,-0.007465019853590566,-0.005191918606309129,-0.005135753172430801,0.0,0.6315,44.76,113.1215,2.5272899910634496,2.5327235982420713,2.5299259524943505,2.5281705947151605,113.3647082573151,113.26504159632351,113.16394888505381,-0.002147665879251435,-0.0012681108563008232,-0.0003751799840501359
2026-06-22,44.72,112.97,2.5261627906976742,2.53201256111268,2.523842800082926,2.525445528593376,113.23160173295904,112.88588045939277,112.93358492758468,-0.0023129973226068256,0.0007448957656160775,0.00032239481938648384,0.0,0.0,44.72,112.97,2.5261627906976742,2.5327235982420713,2.529486989174039,2.528267623138933,113.26339931338542,113.13828859554735,113.05978899566198,-0.002593776858476448,-0.001488566630330803,-0.0007944882024969932
2026-06-23,45.07,113.94,2.5280674506323497,2.53201256111268,2.5235245451461608,2.5256305990301753,114.11780612934848,113.74959499973747,113.82182997370346,-0.0015593078649079773,0.0016724966693965153,0.0010376632196311029,0.0,0.0,45.07,113.94,2.5280674506323497,2.5327235982420713,2.529168734237274,2.5284526935757325,114.14985257277016,114.00397860207394,113.94902177487171,-0.0018400874007775873,-0.0005613537514470207,-7.917691520336523e-05
2026-06-24,45.54,115.25,2.5307422046552484,2.53201256111268,2.5230289611551147,2.525970930087999,115.30785203307144,114.92130778595616,115.01721747983419,-0.0005018439734362507,0.0028560678621280602,0.0020218475040622787,0.0,0.0,45.54,115.25,2.5307422046552484,2.5327235982420713,2.528673150246228,2.5287930246335555,115.34023266394392,115.17834415716545,115.14573566543886,-0.0007826235093057886,0.0006219360331418699,0.0009050891621553811
2026-06-25,45.85,115.94,2.528680479825518,2.53201256111268,2.522374281864939,2.526297289037184,116.09277592701638,115.68087786896201,115.81576714453476,-0.0013168480054876514,0.002237468759508211,0.0010721016257362252,0.0,0.0,45.85,115.94,2.528680479825518,2.5327235982420713,2.5280184709560523,2.5291193835827404,116.12537697939896,115.93966393878955,115.94516017944852,-0.001597627541357181,2.8985828661396774e-06,-4.450633620008731e-05
2026-06-26,46.2,116.82,2.5285714285714285,2.53201256111268,2.522382389534795,2.5265663265199785,116.97898032340582,116.5336918221602,116.71493475351791,-0.0013599746901305067,0.002453857226505946,0.0008997818992814422,0.0,0.0,46.2,116.82,2.5285714285714285,2.5327235982420713,2.5280265786259077,2.529388421065535,117.0118302387837,116.79445335816962,116.84531552152261,-0.0016407542260001616,0.00021870771748040428,-0.00021668189448798168
2026-06-29,46.02,116.25,2.526075619295958,2.53201256111268,2.5221716267394862,2.5266769512488465,116.52321806240553,116.08003756639127,116.27258234644941,-0.0023475053543547154,0.0014631122665747333,-0.00019423787825272412,0.0,0.0,46.02,116.25,2.526075619295958,2.5327235982420713,2.527815815830599,2.5294990457944033,116.55593999110013,116.33978314836428,116.40245513743592,-0.00262828489022437,-0.0007720300660538084,-0.0013105828534465257
