date,FENY,VDE,VDE/FENY,VDE/FENY avg,VDE/FENY 10 dma,VDE/FENY 20 dma,FENY avg,FENY 10 dma,FENY 20 dma,avg diff,10 dma diff,20 dma diff,FENY div,VDE div,FENY*,VDE*,VDE*/FENY*,VDE*/FENY* avg,VDE*/FENY* 10 dma,VDE*/FENY* 20 dma,FENY* avg,FENY* 10 dma,FENY* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-06-15,30.85,156.76,5.081361426256077,5.085845916633113,5.082682921652792,5.083231806173512,156.89834652813155,156.80459068323987,156.81930731764572,-0.0008821479717310649,-0.00028441147288536757,-0.00037826040793442376,0.0,0.0,30.85,156.76,5.081361426256077,5.084784432355385,5.082682921652791,5.083231806173512,156.86559973816364,156.8045906832399,156.8193073176457,-0.00067341277142213,-0.00028441147288547864,-0.00037826040793420166
2026-06-16,30.7,155.95,5.079804560260586,5.085845916633113,5.0825317823964165,5.082921915562578,156.1354696406366,156.0383656947407,156.0552164495268,-0.001188582491104222,-0.0005664678995760881,-0.00067445316916545,0.0,0.0,30.7,155.95,5.079804560260586,5.084784432355385,5.0825317823964165,5.082921915562578,156.10288207331033,156.03836569474066,156.0552164495268,-0.0009798472907952029,-0.000566467899575977,-0.00067445316916545
2026-06-17,30.36,154.28,5.081686429512517,5.085845916633113,5.082505213561296,5.082750293392769,154.4062820289813,154.3056649135552,154.3175093564799,-0.0008181901391669872,-0.0001663389880509978,-0.00024309565390093866,0.0,0.0,30.36,154.28,5.081686429512517,5.084784432355385,5.082505213561296,5.082750293392769,154.3740553663095,154.3056649135552,154.3175093564799,-0.0006094549388581685,-0.0001663389880509978,-0.00024309565390093866
2026-06-18,29.66,151.82,5.1186783546864465,5.085845916633113,5.086223539226019,5.0845989002229155,150.84618988733814,150.74710463422804,150.7543737020295,0.006434900927071209,0.007091979572220289,0.00704376045340856,0.21,0.0,29.87,151.82,5.082691663876799,5.084784432355385,5.082624870145054,5.082799565682433,151.88251099445537,151.81443072907592,151.821751263642,-0.0004116593908524005,3.668405398767051e-05,-1.1535064823808431e-05
2026-06-22,30.03,153.75,5.119880119880119,5.085845916633113,5.090042537129524,5.086522432340859,152.7279528764924,152.73929288295736,152.69050497369415,0.0066696537396234955,0.0065954067843273624,0.006914877314187293,0.21,0.0,30.240000000000002,153.75,5.084325396825396,5.084784432355385,5.082888395743087,5.08294536164764,153.76388123442686,153.69857607318644,153.70385886623677,-9.028037616107365e-05,0.00033452051038852576,0.00030014997554285135
2026-06-23,30.22,154.68,5.118464592984779,5.085845916633113,5.093447437986443,5.088331929382717,153.69426360065268,153.82108547205422,153.71470790534073,0.006393138942738129,0.005568322367084434,0.006260128480368927,0.21,0.0,30.43,154.68,5.083141636542885,5.084784432355385,5.082761000955816,5.0829887108674034,154.72999027657437,154.67229388246213,154.6740273549377,-0.00032313292123931124,4.982098204447712e-05,3.861365642536717e-05
2026-06-24,29.68,150.88,5.083557951482479,5.085845916633113,5.0935931041633165,5.088286224472368,150.9479068056708,151.1735199594376,151.02169166407904,-0.0004499703657973632,-0.0019434969793885746,-0.0009386610171117123,0.0,0.0,29.68,150.88,5.083557951482479,5.084784432355385,5.082906667132691,5.0829430059570555,150.91640195230784,150.85634650836863,150.86310493854452,-0.00024123516548830727,0.00015678251528882051,0.00011198308227505915
2026-06-25,30.02,152.54,5.081279147235176,5.085845916633113,5.093418664487825,5.088178247573698,152.67709441732606,152.90966498698276,152.75035245866047,-0.0008983404209883039,-0.002420465365229595,-0.0013780487346226789,0.0,0.0,30.02,152.54,5.081279147235176,5.084784432355385,5.0827322274572,5.082835029058384,152.64522865930866,152.58885814732338,152.5899490388308,-0.0006896052206792923,-0.0003202459972983419,-0.00032739519299444916
2026-06-26,29.91,152.07,5.0842527582748245,5.085845916633113,5.0933212130425805,5.088167538445363,152.11765136649643,152.34415225483085,152.1874113849293,-0.00031330244125395666,-0.001801179918334009,-0.0007717898487532438,0.0,0.0,29.91,152.07,5.0842527582748245,5.084784432355385,5.082634776011955,5.08282431993005,152.08590237174957,152.02452092324484,152.0275957191363,-0.00010456724094493119,0.0002991114536108201,0.000278886000649002
2026-06-29,29.76,151.28,5.083333333333333,5.085845916633113,5.093229867390634,5.088018348334537,151.35477447900146,151.5772393001472,151.423865944134,-0.0004941565664540468,-0.001962901043885626,-0.0009505392639600942,0.0,0.0,29.76,151.28,5.083333333333333,5.084784432355385,5.082543430360007,5.082675129819224,151.32318470689628,151.25921093411577,151.2648517611183,-0.0002854213661451468,0.00013743055554852563,0.00010013879797436583
