date,CWB,ICVT,ICVT/CWB,ICVT/CWB avg,ICVT/CWB 10 dma,ICVT/CWB 20 dma,CWB avg,CWB 10 dma,CWB 20 dma,avg diff,10 dma diff,20 dma diff,CWB div,ICVT div,CWB*,ICVT*,ICVT*/CWB*,ICVT*/CWB* avg,ICVT*/CWB* 10 dma,ICVT*/CWB* 20 dma,CWB* avg,CWB* 10 dma,CWB* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-03-05,93.04,103.31,1.1103826311263971,1.114300691884778,1.1094088640155229,1.1084440539345186,103.67453637295975,103.19940344542267,103.11687262959224,-0.003522357334009567,0.0010711043982090797,0.0018711461768085656,0.0,0.0,93.04,103.31,1.1103826311263971,1.114300691884778,1.1094088640155229,1.1084440539345186,103.67453637295975,103.19940344542267,103.11687262959224,-0.003522357334009567,0.0010711043982090797,0.0018711461768085656
2026-03-06,91.34,101.28,1.1088241734179987,1.114300691884778,1.1092917040115917,1.1083899744178227,101.78022519675562,101.33340563917785,101.24527988637894,-0.0049268753459415235,-0.0005271678865096451,0.0003428719020231054,0.0,0.0,91.34,101.28,1.1088241734179987,1.114300691884778,1.1092917040115917,1.1083899744178227,101.78022519675562,101.33340563917785,101.24527988637894,-0.0049268753459415235,-0.0005271678865096451,0.0003428719020231054
2026-03-09,92.87,103.18,1.1110153978679875,1.114300691884778,1.10951467161099,1.1083739534650272,103.48510525533933,103.01992055155652,102.9361769241832,-0.0029526559563677396,0.001552662873726965,0.0023658811567966232,0.0,0.0,92.87,103.18,1.1110153978679875,1.114300691884778,1.10951467161099,1.1083739534650272,103.48510525533933,103.01992055155652,102.9361769241832,-0.0029526559563677396,0.001552662873726965,0.0023658811567966232
2026-03-10,93.01,103.5,1.1127835716589614,1.114300691884778,1.1102672675293888,1.1086721512018376,103.6411073522032,103.1959596065382,103.08986141178218,-0.0013624275339065288,0.0029419115238218992,0.003970563940044227,0.0,0.0,93.01,103.5,1.1127835716589614,1.114300691884778,1.1102672675293888,1.1086721512018376,103.6411073522032,103.1959596065382,103.08986141178218,-0.0013624275339065288,0.0029419115238218992,0.003970563940044227
2026-03-11,93.45,104.1,1.1139646869983948,1.114300691884778,1.1111324666203597,1.1090368407795828,104.13139965663251,103.75447615062139,103.60541252981173,-0.00030158426560344904,0.003324673820327501,0.0047624026639845034,0.0,0.0,93.45,104.1,1.1139646869983948,1.114300691884778,1.1111324666203597,1.1090368407795828,104.13139965663251,103.75447615062139,103.60541252981173,-0.00030158426560344904,0.003324673820327501,0.0047624026639845034
2026-03-12,92.03,102.03,1.1086602194936435,1.114300691884778,1.1111433292134603,1.1092317565161696,102.54909267415611,102.25752090307171,102.064660456945,-0.005074749148506379,-0.0022274585950007387,-0.00033965079929694654,0.0,0.0,92.03,102.03,1.1086602194936435,1.114300691884778,1.1111433292134603,1.1092317565161696,102.54909267415611,102.25752090307171,102.064660456945,-0.005074749148506379,-0.0022274585950007387,-0.00033965079929694654
2026-03-13,92.05,102.4,1.1124388919065726,1.114300691884778,1.1113679346575611,1.1095667242187286,102.57137868799381,102.28074345409901,102.1047831873134,-0.001672221058634067,0.0011652933967645604,0.0028871404683295725,0.0,0.0,92.05,102.4,1.1124388919065726,1.114300691884778,1.1113679346575611,1.1095667242187286,102.57137868799381,102.28074345409901,102.1047831873134,-0.001672221058634067,0.0011652933967645604,0.0028871404683295725
2026-03-16,93.22,103.76,1.113065865694057,1.114300691884778,1.1112010147882923,1.109813182247903,103.87511049749901,103.60171886877785,103.43381003166988,-0.0011087769213610585,0.001526618922971848,0.003148648482955686,0.0,0.0,93.22,103.76,1.113065865694057,1.114300691884778,1.1112010147882923,1.109813182247903,103.87511049749901,103.60171886877785,103.43381003166988,-0.0011087769213610585,0.001526618922971848,0.003148648482955686
2026-03-17,93.91,104.42,1.1119156639335535,1.114300691884778,1.1114020354145655,1.1101177647693325,104.6439779748995,104.35288729876852,104.22255594490056,-0.0021426748190705434,0.0006429254719000179,0.0018926542875646595,0.0,0.0,93.91,104.42,1.1119156639335535,1.114300691884778,1.1114020354145655,1.1101177647693325,104.6439779748995,104.35288729876852,104.22255594490056,-0.0021426748190705434,0.0006429254719000179,0.0018926542875646595
2026-03-18,93.63,104.23,1.1132115774858486,1.114300691884778,1.1116262679583415,1.110410100044426,104.33197378117175,104.06057257586576,103.9403263153526,-0.0009778751845213871,0.0016268375414806335,0.002783046717015722,0.0,0.0,93.63,104.23,1.1132115774858486,1.114300691884778,1.1116262679583415,1.110410100044426,104.33197378117175,104.06057257586576,103.9403263153526,-0.0009778751845213871,0.0016268375414806335,0.002783046717015722
