date,FENY,IYE,VDE,XLE,FENY scalar,IYE scalar,VDE scalar,XLE scalar,FENY unit price div,FENY unit price no div,IYE unit price div,IYE unit price no div,VDE unit price div,VDE unit price no div,XLE unit price div,XLE unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
8/12/2026,33.89,64.8,172.29,61.03,5.097790053,2.661110548,1,2.738800444,172.3510049,172.3895049,173.1419635,172.9324635,172.29,172.29,172.6909911,172.7129911,173.1419635,172.29,0.49%,IYE unit price div,VDE unit price div,172.9324635,172.29,0.37%,IYE unit price no div,VDE unit price no div
8/13/2026,33.89,64.77,172.3,61.06,5.097790053,2.661110548,1,2.738800444,172.3510049,172.3895049,173.0621302,172.8526302,172.3,172.3,172.7731551,172.7951551,173.0621302,172.3,0.44%,IYE unit price div,VDE unit price div,172.8526302,172.3,0.32%,IYE unit price no div,VDE unit price no div
8/14/2026,34.37,65.66,174.68,61.91,5.097790053,2.661110548,1,2.738800444,174.7979441,174.8364441,175.4305186,175.2210186,174.68,174.68,175.1011355,175.1231355,175.4305186,174.68,0.43%,IYE unit price div,VDE unit price div,175.2210186,174.68,0.31%,IYE unit price no div,VDE unit price no div
8/17/2026,34.74,66.26,176.62,62.58,5.097790053,2.661110548,1,2.738800444,176.6841265,176.7226265,177.0271849,176.8176849,176.62,176.62,176.9361318,176.9581318,177.0271849,176.62,0.23%,IYE unit price div,VDE unit price div,176.9581318,176.62,0.19%,XLE unit price no div,VDE unit price no div
8/18/2026,35.24,67.31,179.21,63.68,5.097790053,2.661110548,1,2.738800444,179.2330215,179.2715215,179.821351,179.611851,179.21,179.21,179.9488123,179.9708123,179.9488123,179.21,0.41%,XLE unit price div,VDE unit price div,179.9708123,179.21,0.42%,XLE unit price no div,VDE unit price no div
8/19/2026,35.22,67.29,179.06,63.58,5.097790053,2.661110548,1,2.738800444,179.1310657,179.1695657,179.7681288,179.5586288,179.06,179.06,179.6749322,179.6969322,179.7681288,179.06,0.39%,IYE unit price div,VDE unit price div,179.6969322,179.06,0.36%,XLE unit price no div,VDE unit price no div
8/20/2026,35.35,67.48,179.72,63.75,5.097790053,2.661110548,1,2.738800444,179.7937784,179.8322784,180.2737398,180.0642398,179.72,179.72,180.1405283,180.1625283,180.2737398,179.72,0.31%,IYE unit price div,VDE unit price div,180.1625283,179.72,0.25%,XLE unit price no div,VDE unit price no div
8/21/2026,35.32,67.36,179.58,63.64,5.097790053,2.661110548,1,2.738800444,179.6408447,179.6793447,179.9544065,179.7449065,179.58,179.58,179.8392603,179.8612603,179.9544065,179.58,0.21%,IYE unit price div,VDE unit price div,179.8612603,179.58,0.16%,XLE unit price no div,VDE unit price no div
8/24/2026,35.02,66.81,177.87,63.11,5.097790053,2.661110548,1,2.738800444,178.1115077,178.1500077,178.4907957,178.2812957,177.87,177.87,178.387696,178.409696,178.4907957,177.87,0.35%,IYE unit price div,VDE unit price div,178.409696,177.87,0.30%,XLE unit price no div,VDE unit price no div
8/25/2026,34.47,65.73,175.13,62.06,5.097790053,2.661110548,1,2.738800444,175.3077231,175.3462231,175.6167963,175.4072963,175.13,175.13,175.5119556,175.5339556,175.6167963,175.13,0.28%,IYE unit price div,VDE unit price div,175.5339556,175.13,0.23%,XLE unit price no div,VDE unit price no div
