,bop date,eop date,bop XLU price,eop XLU price,XLU cop,XLU pct cop,bop FUTY price,eop FUTY price,FUTY cop,FUTY pct cop,bop VPU price,eop VPU price,VPU cop,VPU pct cop,VPU / XLU,XLU scalar,eop XLU unit price,VPU / FUTY,FUTY scalar,eop FUTY unit price,VPU / VPU,VPU scalar,eop VPU unit price,max_price,min_price,pct_diff
1178,2026-05-08,2026-05-11,44.72,45.14,0.4200000000000017,0.0093479425425459,57.85,58.38,0.5300000000000011,0.009119911786283,193.9,195.62,1.7199999999999989,0.0088314396137408,4.333628710677891,4.3274,195.338836,3.3508050702295304,3.352,195.68976,1.0,1.0,195.62,195.68976,195.338836,0.0017948768852236818
1179,2026-05-11,2026-05-12,45.14,45.19,0.0499999999999971,0.0011070520337985,58.38,58.44,0.0599999999999951,0.0010272214565298,195.62,195.91,0.289999999999992,0.0014813682375938,4.335251161761452,4.3274,195.555206,3.3523271731690625,3.352,195.89087999999998,1.0,1.0,195.91,195.91,195.555206,0.0018126469055603544
1180,2026-05-12,2026-05-13,45.19,44.67,-0.519999999999996,-0.0115736880591608,58.44,57.74,-0.6999999999999957,-0.0120504126477096,195.91,193.52,-2.3899999999999864,-0.0122745037981689,4.332214013879561,4.3274,193.304958,3.3515760304814686,3.352,193.54448,1.0,1.0,193.52,193.54448,193.304958,0.0012383217194061951
1181,2026-05-13,2026-05-14,44.67,44.9,0.2299999999999968,0.0051356593841812,57.74,58.05,0.3099999999999951,0.0053545339091113,193.52,194.56,1.039999999999992,0.0053597324760303,4.333184855233853,4.3274,194.30025999999998,3.3515934539190355,3.352,194.5836,1.0,1.0,194.56,194.5836,194.30025999999998,0.0014571962443363695
1182,2026-05-14,2026-05-15,44.9,43.87,-1.0300000000000011,-0.0232070795700859,58.05,56.69,-1.3599999999999994,-0.0237068798076881,194.56,190.2,-4.360000000000014,-0.0226644486665123,4.335536813312058,4.3274,189.84303799999998,3.355089080966661,3.352,190.02488,1.0,1.0,190.2,190.2,189.84303799999998,0.0018785351619751193
1183,2026-05-15,2026-05-18,43.87,43.94,0.0700000000000002,0.0015943517783414,56.69,56.81,0.1200000000000045,0.0021145382328233,190.2,190.32,0.1200000000000045,0.0006307158834123,4.331360946745562,4.3274,190.14595599999998,3.3501144164759724,3.352,190.42712,1.0,1.0,190.32,190.42712,190.14595599999998,0.0014775824612159125
1184,2026-05-18,2026-05-19,43.94,44.34,0.4000000000000057,0.0090621372317014,56.81,57.31,0.5,0.0087627619946105,190.32,192.06,1.740000000000009,0.0091009572151245,4.331529093369418,4.3274,191.87691600000002,3.351247600767754,3.352,192.10312,1.0,1.0,192.06,192.10312,191.87691600000002,0.001178207224124871
1185,2026-05-19,2026-05-20,44.34,44.51,0.1699999999999946,0.0038266788395973,57.31,57.58,0.269999999999996,0.0047001566203836,192.06,192.92,0.8599999999999852,0.0044677719909443,4.334306897326443,4.3274,192.612574,3.3504689128169503,3.352,193.00815999999998,1.0,1.0,192.92,193.00815999999998,192.612574,0.0020516850049112517
1186,2026-05-20,2026-05-21,44.51,45.0,0.490000000000002,0.0109486067425568,57.58,58.16,0.5799999999999983,0.010022548041234,192.92,194.93,2.0100000000000198,0.0103649245572825,4.331777777777778,4.3274,194.733,3.3516162310866577,3.352,194.95232,1.0,1.0,194.93,194.95232,194.733,0.0011256263035885454
1187,2026-05-21,2026-05-22,45.0,45.35,0.3500000000000014,0.0077476867908259,58.16,58.63,0.4700000000000059,0.0080486777508598,194.93,196.47,1.539999999999992,0.0078692281400181,4.3323042998897465,4.3274,196.24759,3.3510148388197165,3.352,196.52776,1.0,1.0,196.47,196.52776,196.24759,0.001426617263622491
1188,2026-05-22,2026-05-26,45.35,45.33,-0.0200000000000031,-0.0004411116083877,58.63,58.68,0.0499999999999971,0.0008524422986572,196.47,196.65,0.1800000000000068,0.0009157509797466,4.338186631369954,4.3274,196.16104199999998,3.3512269938650308,3.352,196.69536,1.0,1.0,196.65,196.69536,196.16104199999998,0.0027201711706675478
1189,2026-05-26,2026-05-27,45.33,45.14,-0.1899999999999977,-0.0042002935633682,58.68,58.4,-0.2800000000000011,-0.0047830634405996,196.65,195.7,-0.950000000000017,-0.0048426244757881,4.3354009747452364,4.3274,195.338836,3.3510273972602738,3.352,195.7568,1.0,1.0,195.7,195.7568,195.338836,0.002137401293436157
1190,2026-05-27,2026-05-28,45.14,44.63,-0.509999999999998,-0.0113624927482111,58.4,57.75,-0.6499999999999986,-0.0111925404322784,195.7,193.55,-2.1499999999999773,-0.0110469973783732,4.336768989468967,4.3274,193.131862,3.3515151515151516,3.352,193.578,1.0,1.0,193.55,193.578,193.131862,0.00230735360936882
1191,2026-05-28,2026-05-29,44.63,44.42,-0.2100000000000008,-0.0047164601748971,57.75,57.53,-0.2199999999999988,-0.0038167985267008,193.55,192.66,-0.8900000000000148,-0.0046088996941796,4.3372354795137325,4.3274,192.223108,3.3488614635842167,3.352,192.84055999999998,1.0,1.0,192.66,192.84055999999998,192.223108,0.0032070152575649404
