date,EMB,EMLC,VWOB
2023-08-17,84.19,24.83,60.37
2023-08-18,84.17,24.89,60.4
2023-08-21,83.75,24.84,60.03
2023-08-22,83.98,24.86,60.21
2023-08-23,85.33,25.14,61.09
2023-08-24,84.75,25.05,60.8
2023-08-25,84.88,25.08,60.99
2023-08-28,85.15,25.11,61.09
2023-08-29,86.03,25.26,61.72
2023-08-30,85.8,25.23,61.54
2023-08-31,85.72,25.13,61.54
2023-09-01,85.15,24.93,61.07
2023-09-05,84.32,24.6,60.51
2023-09-06,84.19,24.43,60.42
2023-09-07,84.64,24.38,60.69
2023-09-08,84.71,24.37,60.8
2023-09-11,84.58,24.52,60.71
2023-09-12,84.64,24.46,60.7
2023-09-13,84.69,24.55,60.73
2023-09-14,84.72,24.5,60.77
2023-09-15,84.44,24.51,60.59
2023-09-18,84.49,24.53,60.6
2023-09-19,84.39,24.46,60.53
2023-09-20,84.32,24.45,60.47
2023-09-21,83.47,24.25,59.91
2023-09-22,83.81,24.25,60.13
2023-09-25,83.33,24.08,59.77
2023-09-26,82.78,23.87,59.33
2023-09-27,82.42,23.7,59.2
2023-09-28,82.61,23.78,59.3
2023-09-29,82.52,23.87,59.16
2023-10-02,81.27,23.55,58.29
2023-10-03,80.36,23.29,57.62
2023-10-04,80.74,23.32,57.81
2023-10-05,80.71,23.3,57.83
2023-10-06,80.74,23.31,57.87
2023-10-09,81.14,23.38,58.12
2023-10-10,81.27,23.55,58.19
2023-10-11,81.93,23.75,58.67
2023-10-12,81.07,23.6,58.16
2023-10-13,81.3,23.62,58.32
2023-10-16,81.21,23.72,58.18
2023-10-17,80.82,23.63,57.99
2023-10-18,80.3,23.47,57.51
2023-10-19,79.71,23.47,57.2
2023-10-20,80.15,23.45,57.44
2023-10-23,80.61,23.54,57.71
2023-10-24,81.25,23.59,58.17
2023-10-25,80.64,23.45,57.76
2023-10-26,80.96,23.58,57.91
2023-10-27,81.0,23.67,57.91
2023-10-30,81.21,23.71,58.03
2023-10-31,81.19,23.7,58.02
2023-11-01,81.89,23.79,58.51
2023-11-02,82.71,24.05,59.04
2023-11-03,83.52,24.37,59.57
2023-11-06,82.83,24.39,59.1
2023-11-07,83.11,24.41,59.42
2023-11-08,83.27,24.37,59.49
2023-11-09,82.42,24.18,58.96
2023-11-10,82.78,24.25,59.16
2023-11-13,82.34,24.26,58.92
2023-11-14,83.77,24.76,60.0
2023-11-15,83.25,24.74,59.66
2023-11-16,83.94,24.82,60.01
2023-11-17,84.21,24.87,60.21
2023-11-20,84.74,25.09,60.54
2023-11-21,84.74,24.93,60.54
2023-11-22,85.16,24.86,60.85
2023-11-24,84.99,24.93,60.76
2023-11-27,85.36,24.95,60.98
2023-11-28,85.8,25.06,61.35
2023-11-29,86.48,25.02,61.73
2023-11-30,85.87,24.89,61.34
2023-12-01,86.85,24.98,61.96
2023-12-04,86.25,24.78,61.64
2023-12-05,86.75,24.77,61.9
2023-12-06,87.23,24.81,62.27
2023-12-07,87.14,24.84,62.18
2023-12-08,86.84,24.69,62.12
2023-12-11,86.7,24.71,61.9
2023-12-12,86.88,24.76,62.07
2023-12-13,88.32,25.1,63.16
2023-12-14,88.87,25.39,63.71
2023-12-15,88.75,25.27,63.77
2023-12-18,88.77,25.33,63.77
2023-12-19,88.99,25.5,63.93
2023-12-20,89.0,25.41,64.0
2023-12-21,89.16,25.52,64.04
2023-12-22,89.04,25.51,63.68
2023-12-26,89.36,25.46,63.83
2023-12-27,89.68,25.41,64.11
2023-12-28,89.43,25.34,63.95
2023-12-29,89.06,25.35,63.75
2024-01-02,88.18,25.15,63.18
2024-01-03,87.84,25.07,62.85
2024-01-04,87.44,25.04,62.53
2024-01-05,87.17,25.09,62.28
2024-01-08,87.28,25.16,62.35
2024-01-09,86.94,25.08,62.13
2024-01-10,87.56,25.12,62.57
2024-01-11,88.35,25.25,63.11
2024-01-12,88.51,25.3,63.2
2024-01-16,87.69,24.9,62.66
2024-01-17,87.36,24.9,62.41
2024-01-18,87.45,24.94,62.47
2024-01-19,87.49,25.03,62.54
2024-01-22,87.55,24.97,62.61
2024-01-23,87.1,24.9,62.36
2024-01-24,86.86,25.01,62.18
2024-01-25,87.48,25.01,62.69
2024-01-26,87.61,25.0,62.69
2024-01-29,87.94,25.0,62.94
2024-01-30,88.14,25.08,63.05
2024-01-31,87.98,24.97,62.97
2024-02-01,88.35,25.06,63.14
2024-02-02,87.64,24.89,62.61
2024-02-05,86.9,24.68,62.2
2024-02-06,87.69,24.78,62.65
2024-02-07,87.57,24.77,62.59
2024-02-08,87.46,24.74,62.55
2024-02-09,87.49,24.77,62.5
2024-02-12,87.57,24.78,62.54
2024-02-13,86.49,24.54,61.82
2024-02-14,87.08,24.65,62.21
2024-02-15,87.79,24.81,62.68
2024-02-16,87.19,24.74,62.29
2024-02-20,87.18,24.76,62.33
2024-02-21,87.11,24.8,62.29
2024-02-22,87.66,24.78,62.64
2024-02-23,88.15,24.75,62.88
2024-02-26,87.9,24.8,62.78
2024-02-27,87.82,24.85,62.61
2024-02-28,88.0,24.78,62.74
2024-02-29,88.3,24.79,62.94
2024-03-01,88.43,24.72,62.94
2024-03-04,88.35,24.74,62.92
2024-03-05,88.54,24.73,63.09
2024-03-06,88.87,24.68,63.3
2024-03-07,89.11,24.77,63.47
2024-03-08,89.21,24.92,63.53
2024-03-11,89.07,24.9,63.44
2024-03-12,88.95,24.85,63.35
2024-03-13,89.04,24.93,63.38
2024-03-14,88.59,24.79,63.08
2024-03-15,88.31,24.81,62.88
2024-03-18,88.36,24.56,62.91
2024-03-19,88.77,24.53,63.21
2024-03-20,89.19,24.67,63.53
2024-03-21,89.5,24.63,63.69
2024-03-22,89.79,24.5,63.91
2024-03-25,89.72,24.6,63.86
2024-03-26,89.71,24.54,63.86
2024-03-27,90.08,24.56,64.13
2024-03-28,89.67,24.51,63.85
2024-04-01,88.92,24.26,63.25
2024-04-02,88.96,24.36,63.32
2024-04-03,89.15,24.45,63.48
2024-04-04,89.11,24.5,63.44
2024-04-05,89.25,24.54,63.56
2024-04-08,89.28,24.51,63.56
2024-04-09,89.88,24.56,64.0
2024-04-10,88.46,24.24,63.02
2024-04-11,88.2,24.27,62.84
2024-04-12,87.95,24.06,62.66
2024-04-15,86.93,23.91,61.91
2024-04-16,86.66,23.66,61.69
2024-04-17,87.34,23.81,62.18
2024-04-18,87.27,23.79,62.16
2024-04-19,87.52,23.83,62.33
2024-04-22,87.99,23.89,62.66
2024-04-23,88.11,23.89,62.72
2024-04-24,87.48,23.77,62.35
2024-04-25,87.23,23.78,62.16
2024-04-26,87.61,23.83,62.4
2024-04-29,88.04,23.95,62.72
2024-04-30,87.15,23.71,62.19
2024-05-01,87.15,23.85,62.09
2024-05-02,87.86,24.09,62.56
2024-05-03,88.58,24.25,63.04
2024-05-06,88.83,24.26,63.21
2024-05-07,88.9,24.28,63.3
2024-05-08,88.57,24.23,63.07
2024-05-09,88.87,24.3,63.23
2024-05-10,88.66,24.24,63.14
2024-05-13,88.75,24.28,63.15
2024-05-14,88.95,24.38,63.33
2024-05-15,89.88,24.56,63.97
2024-05-16,89.58,24.58,63.79
2024-05-17,89.41,24.62,63.65
2024-05-20,89.42,24.62,63.66
2024-05-21,89.49,24.59,63.73
2024-05-22,89.2,24.48,63.55
2024-05-23,88.59,24.39,63.13
2024-05-24,88.94,24.42,63.32
2024-05-28,88.41,24.47,62.97
2024-05-29,88.09,24.21,62.74
2024-05-30,88.62,24.23,63.07
2024-05-31,89.05,24.25,63.38
2024-06-03,89.09,24.14,63.28
2024-06-04,89.15,24.08,63.34
2024-06-05,89.39,24.05,63.5
2024-06-06,89.18,24.1,63.37
2024-06-07,88.48,23.84,62.95
2024-06-10,88.46,23.83,62.87
2024-06-11,88.8,23.81,63.12
2024-06-12,89.15,23.83,63.35
2024-06-13,89.39,23.81,63.53
2024-06-14,89.28,23.66,63.48
2024-06-17,89.01,23.69,63.28
2024-06-18,89.6,23.83,63.68
2024-06-20,89.27,23.78,63.51
2024-06-21,89.38,23.84,63.55
2024-06-24,89.42,23.96,63.58
2024-06-25,89.41,23.9,63.61
2024-06-26,89.11,23.77,63.31
2024-06-27,89.19,23.72,63.36
2024-06-28,88.48,23.78,62.91
2024-07-01,87.75,23.58,62.4
2024-07-02,88.18,23.64,62.65
2024-07-03,88.87,23.86,63.15
2024-07-05,89.45,24.01,63.54
2024-07-08,89.43,24.04,63.52
2024-07-09,89.15,24.09,63.32
2024-07-10,89.57,24.15,63.56
2024-07-11,90.09,24.31,63.94
2024-07-12,90.26,24.45,64.1
2024-07-15,89.89,24.37,63.85
2024-07-16,90.29,24.43,64.07
2024-07-17,89.97,24.4,63.87
2024-07-18,89.5,24.2,63.53
2024-07-19,89.26,24.15,63.41
2024-07-22,89.66,24.21,63.61
2024-07-23,89.69,24.16,63.65
2024-07-24,89.11,24.03,63.25
2024-07-25,89.26,24.06,63.3
2024-07-26,89.76,24.14,63.7
2024-07-29,89.91,24.07,63.78
