date,IYJ,IYK
2023-09-08,105.39,64.5967
2023-09-11,105.53,65.2533
2023-09-12,105.15,64.9133
2023-09-13,104.57,65.03
2023-09-14,105.37,65.6633
2023-09-15,104.71,65.2367
2023-09-18,105.0,65.37
2023-09-19,104.48,65.23
2023-09-20,103.93,65.3333
2023-09-21,102.01,64.7067
2023-09-22,101.76,64.2833
2023-09-25,102.11,64.0633
2023-09-26,100.31,62.96
2023-09-27,100.86,62.2133
2023-09-28,101.42,62.2833
2023-09-29,100.89,62.17
2023-10-02,100.19,61.7133
2023-10-03,99.23,61.2633
2023-10-04,99.87,61.61
2023-10-05,99.5,60.2867
2023-10-06,100.59,60.2
2023-10-09,101.55,60.3967
2023-10-10,102.34,61.0033
2023-10-11,102.81,60.4767
2023-10-12,101.68,59.57
2023-10-13,100.8,60.08
2023-10-16,101.93,60.5867
2023-10-17,102.43,60.9033
2023-10-18,99.94,61.1733
2023-10-19,98.91,60.86
2023-10-20,97.83,60.7667
2023-10-23,97.36,60.4733
2023-10-24,98.01,61.0233
2023-10-25,96.81,61.28
2023-10-26,96.01,60.8367
2023-10-27,95.31,60.0233
2023-10-30,96.44,60.8533
2023-10-31,97.23,61.1833
2023-11-01,97.82,61.2233
2023-11-02,99.87,62.07
2023-11-03,100.99,62.2367
2023-11-06,100.63,62.3067
2023-11-07,100.51,62.2733
2023-11-08,100.78,62.0867
2023-11-09,100.31,61.77
2023-11-10,101.74,61.99
2023-11-13,101.64,62.2567
2023-11-14,103.97,62.58
2023-11-15,104.3,62.6033
2023-11-16,104.21,62.6167
2023-11-17,104.93,62.53
2023-11-20,105.28,62.5033
2023-11-21,105.29,62.6833
2023-11-22,105.7,63.22
2023-11-24,106.06,63.3867
2023-11-27,105.63,63.1367
2023-11-28,105.47,63.3167
2023-11-29,105.98,62.7367
2023-11-30,107.04,63.48
2023-12-01,108.7,63.7333
2023-12-04,108.64,63.7033
2023-12-05,107.9,63.1467
2023-12-06,108.27,63.0767
2023-12-07,108.59,63.3267
2023-12-08,108.97,63.0633
2023-12-11,109.87,63.5433
2023-12-12,110.36,63.6967
2023-12-13,111.87,64.7033
2023-12-14,113.23,63.6733
2023-12-15,112.96,63.25
2023-12-18,113.16,63.78
2023-12-19,114.04,63.9733
2023-12-20,111.94,62.3567
2023-12-21,113.25,62.8467
2023-12-22,113.77,63.1867
2023-12-26,114.4,63.5
2023-12-27,114.61,63.6667
2023-12-28,114.66,63.74
2023-12-29,114.36,63.9033
2024-01-02,113.45,64.94
2024-01-03,111.53,64.68
2024-01-04,111.66,64.5533
2024-01-05,111.93,64.32
2024-01-08,112.81,64.6467
2024-01-09,112.44,64.7033
2024-01-10,112.83,64.4367
2024-01-11,112.62,64.4833
2024-01-12,112.76,64.5733
2024-01-16,111.85,64.2333
2024-01-17,111.23,64.1033
2024-01-18,112.46,63.92
2024-01-19,113.44,63.5933
2024-01-22,114.38,63.31
2024-01-23,114.16,64.1267
2024-01-24,113.41,63.3133
2024-01-25,114.28,63.8533
2024-01-26,114.36,64.0933
2024-01-29,115.34,64.4067
2024-01-30,115.63,64.7933
2024-01-31,114.13,64.4633
2024-02-01,116.08,65.7967
2024-02-02,116.73,65.4533
2024-02-05,115.73,64.9067
2024-02-06,116.51,65.0733
2024-02-07,117.44,65.1
2024-02-08,117.36,64.8233
2024-02-09,117.67,64.28
2024-02-12,118.03,64.71
2024-02-13,116.47,64.23
2024-02-14,117.89,64.03
2024-02-15,118.98,64.39
2024-02-16,118.34,64.4167
2024-02-20,117.58,64.9533
2024-02-21,117.95,65.33
2024-02-22,119.81,65.4167
2024-02-23,120.53,65.71
2024-02-26,120.44,65.2733
2024-02-27,120.56,65.1567
2024-02-28,121.06,65.1633
2024-02-29,121.22,65.24
2024-03-01,121.85,64.95
2024-03-04,121.98,65.0267
2024-03-05,120.98,64.7867
2024-03-06,121.74,65.1533
2024-03-07,122.66,65.5
2024-03-08,122.33,65.71
2024-03-11,121.91,66.23
2024-03-12,122.73,66.36
2024-03-13,123.06,66.63
2024-03-14,122.49,66.39
2024-03-15,122.28,66.46
2024-03-18,122.68,66.89
2024-03-19,123.64,67.25
2024-03-20,125.07,67.33
2024-03-21,125.51,67.06
2024-03-22,124.62,66.94
2024-03-25,123.95,66.8
2024-03-26,123.89,66.89
2024-03-27,125.32,67.54
2024-03-28,125.71,67.63
2024-04-01,124.56,67.14
2024-04-02,123.94,66.71
2024-04-03,124.36,65.96
2024-04-04,123.14,65.56
2024-04-05,124.73,65.61
2024-04-08,124.89,65.6
2024-04-09,124.48,65.8
2024-04-10,123.1,65.29
2024-04-11,123.18,64.83
2024-04-12,121.78,64.16
2024-04-15,120.76,64.04
2024-04-16,120.4,64.24
2024-04-17,119.77,64.52
2024-04-18,119.3,64.97
2024-04-19,119.41,65.81
2024-04-22,120.25,66.42
2024-04-23,121.93,66.54
2024-04-24,121.23,67.2
2024-04-25,121.3,66.96
2024-04-26,121.56,66.76
2024-04-29,122.05,67.04
2024-04-30,120.18,66.88
2024-05-01,119.51,66.12
2024-05-02,120.41,66.46
2024-05-03,121.18,66.59
2024-05-06,122.46,66.59
2024-05-07,123.03,67.19
2024-05-08,123.29,67.06
2024-05-09,124.22,67.5
2024-05-10,124.68,67.94
2024-05-13,124.08,67.97
2024-05-14,124.13,67.79
2024-05-15,125.05,67.73
2024-05-16,124.22,68.25
2024-05-17,124.41,68.05
2024-05-20,124.59,67.72
2024-05-21,124.1,67.85
2024-05-22,123.86,67.81
2024-05-23,122.5,66.86
2024-05-24,123.1,66.76
2024-05-28,121.6,65.87
2024-05-29,119.97,65.42
2024-05-30,120.61,65.65
2024-05-31,121.92,66.87
2024-06-03,120.6,66.8
2024-06-04,120.22,67.31
2024-06-05,121.34,67.1
2024-06-06,120.78,67.44
2024-06-07,120.84,67.15
2024-06-10,121.0,66.71
2024-06-11,120.1,66.24
2024-06-12,120.65,65.52
2024-06-13,120.13,65.66
2024-06-14,119.1,65.58
2024-06-17,120.09,66.19
2024-06-18,120.69,66.33
2024-06-20,121.06,66.15
2024-06-21,120.93,66.47
2024-06-24,121.41,67.15
2024-06-25,120.19,66.71
2024-06-26,119.83,66.46
2024-06-27,119.47,66.05
2024-06-28,119.44,65.75
2024-07-01,118.32,65.28
2024-07-02,119.24,65.46
2024-07-03,119.63,65.34
